Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	3	0	01/01/2013	12/31/2013	EUR	IE	EUR	512427818	0	 	 	 	 	 
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	1	1	0	01/01/2013	12/31/2013	EUR	RO	EUR	532110894	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	7	2	0	01/01/2013	12/31/2013	USD	PE	USD	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	01/01/2013	12/31/2013	TRY	TR	TRY	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	7	2	0	01/01/2013	12/31/2013	EUR	DE	EUR	512427818	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	4	0	01/01/2013	12/31/2013	USD	VE	USD	512427818	0	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	USD	DZ	USD	503030130	0	 	 	 	 	 
APPLE	US	310512	D Hearts Vietnam	StarMine V1.0	1.0	1	1	0	01/01/2013	12/31/2013	EUR	IT	EUR	532110894	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	4	0	01/01/2013	12/31/2013	MXN	MX	MXN	512427818	0	 	 	 	 	Games
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	RUB	RU	RUB	503030130	0	 	 	 	 	 
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	5	0	01/01/2013	12/31/2013	IDR	ID	IDR	512427818	0	 	 	 	 	 
APPLE	US	070212	D Hearts Vietnam	LIGHTS OUT V	1.0	1	2	60	01/01/2013	12/31/2013	JPY	JP	JPY	500958359	85	 	 	 	 	 
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	01/01/2013	12/31/2013	USD	VE	USD	503030130	0	 	 	 	 	 
